,precipitation_AWAP,precipitation_SILO,et_morton_wet_SILO,qtot,streamflow_mmd
1975-12-06,9.68421061,9.00659673,2.8666667,1.443442058675035,0.97007861
1975-12-07,0.67508773,0.16863158,5.82884223,1.0859359970970817,1.19385738
1975-12-08,0.0,0.0,7.37122816,0.7957473118429751,0.96903425
1975-12-09,0.0,0.0,7.34371938,0.5850529829196568,0.89010107
1975-12-10,0.0,0.0,7.58098256,0.4321006409268033,0.8395059
1975-12-11,0.0,0.0,7.7091229,0.3210342904013513,0.80845592
1975-12-12,0.1122807,0.0,7.13922821,0.2444122023947361,0.7937507
1975-12-13,2.47866666,1.13045616,2.74603513,0.3227348082902587,0.76702695
1975-12-14,10.04308764,9.88919313,2.20343864,0.8906398615423091,0.84305446
1975-12-15,19.93733326,16.14056162,4.76778968,1.983683373289013,1.28286637
1975-12-16,1.00673684,0.65319299,5.90842112,1.505416340506249,1.11993262
1975-12-17,0.27557896,0.00435088,3.45101762,1.1123415040443705,0.84741999
1975-12-18,0.84870176,0.31249123,5.16778958,0.8605094435613483,0.83456766
1975-12-19,0.0,0.0,5.68722819,0.6331157818615166,0.78970803
1975-12-20,0.0,0.0,6.86189484,0.467767939518219,0.76150758
1975-12-21,0.0,0.0,6.93775447,0.3475047741108431,0.7433717
1975-12-22,0.0,0.0,7.24856156,0.2599973279260479,0.72737507
1975-12-23,0.0,0.0,7.16266678,0.1962949385839369,0.71141494
1975-12-24,0.0,0.0,6.73494744,0.149899922897272,0.69464065
1975-12-25,0.0,0.0,6.68652639,0.1160935517478206,0.68583661
1975-12-26,0.0,0.0,7.0244211,0.0914475193188118,0.67039304
